,Destino,Origen,topic,author,undirected_edge,frequency,weight
169871,mantilla,julissa,topico 1,GTNZ1256,julissa-mantilla,1593,1593
179296,mantilla,julissa,topico 1,alvarosarco,julissa-mantilla,1593,1593
284842,mantilla,julissa,topico 1,ElizaldeMiro,julissa-mantilla,1593,1593
284802,mantilla,julissa,topico 1,LibertadEsMivoz,julissa-mantilla,1593,1593
179319,mantilla,julissa,topico 1,Enfoque21Luis,julissa-mantilla,1593,1593
169209,mantilla,julissa,topico 1,ANTIROJO2019,julissa-mantilla,1593,1593
284776,mantilla,julissa,topico 1,KikeTerrones,julissa-mantilla,1593,1593
169186,mantilla,julissa,topico 1,rgcsi,julissa-mantilla,1593,1593
284656,mantilla,julissa,topico 1,maquinadcombate,julissa-mantilla,1593,1593
165779,mantilla,julissa,topico 1,mapa803,julissa-mantilla,1593,1593
284750,mantilla,julissa,topico 1,martell_mori,julissa-mantilla,1593,1593
179413,mantilla,julissa,topico 1,Ecomart7,julissa-mantilla,1593,1593
147374,mantilla,julissa,topico 1,MalenaMenesesTi,julissa-mantilla,1593,1593
179436,mantilla,julissa,topico 1,EnriqueYturbe,julissa-mantilla,1593,1593
169163,mantilla,julissa,topico 1,omarzm,julissa-mantilla,1593,1593
284724,mantilla,julissa,topico 1,jennyfve2015,julissa-mantilla,1593,1593
284868,mantilla,julissa,topico 1,marimari202167,julissa-mantilla,1593,1593
284894,mantilla,julissa,topico 1,Mycroft42097064,julissa-mantilla,1593,1593
148427,mantilla,julissa,topico 1,Compartetuopini,julissa-mantilla,1593,1593
169251,mantilla,julissa,topico 1,leychy11,julissa-mantilla,1593,1593
285074,mantilla,julissa,topico 1,MarieHeleneGar,julissa-mantilla,1593,1593
169345,mantilla,julissa,topico 1,AliciaTatcher,julissa-mantilla,1593,1593
133644,mantilla,julissa,topico 1,monteshashimoto,julissa-mantilla,1593,1593
169230,mantilla,julissa,topico 1,mmvasquezs,julissa-mantilla,1593,1593
179133,mantilla,julissa,topico 1,Naydachuc,julissa-mantilla,1593,1593
169004,mantilla,julissa,topico 1,FranchyRosa,julissa-mantilla,1593,1593
285048,mantilla,julissa,topico 1,rralbert,julissa-mantilla,1593,1593
284996,mantilla,julissa,topico 1,MyrnaZ5,julissa-mantilla,1593,1593
179179,mantilla,julissa,topico 1,CarlosAlvare117,julissa-mantilla,1593,1593
169272,mantilla,julissa,topico 1,felipachi58,julissa-mantilla,1593,1593
165756,mantilla,julissa,topico 1,EternoViajero_,julissa-mantilla,1593,1593
179250,mantilla,julissa,topico 1,1982_hd,julissa-mantilla,1593,1593
284967,mantilla,julissa,topico 1,Yesika83057729,julissa-mantilla,1593,1593
179273,mantilla,julissa,topico 1,Gsalvaino,julissa-mantilla,1593,1593
284941,mantilla,julissa,topico 1,pescuso,julissa-mantilla,1593,1593
179459,mantilla,julissa,topico 1,CorruptosSon,julissa-mantilla,1593,1593
284619,mantilla,julissa,topico 1,TreyesNicole,julissa-mantilla,1593,1593
179110,mantilla,julissa,topico 1,jiruko5,julissa-mantilla,1593,1593
284222,mantilla,julissa,topico 1,MariaGirao6,julissa-mantilla,1593,1593
284372,mantilla,julissa,topico 1,CampanitaCarra,julissa-mantilla,1593,1593
117331,mantilla,julissa,topico 1,kearny2014,julissa-mantilla,1593,1593
179672,mantilla,julissa,topico 1,Frospigliosi,julissa-mantilla,1593,1593
169027,mantilla,julissa,topico 1,LuisOrt92913606,julissa-mantilla,1593,1593
284346,mantilla,julissa,topico 1,RikuNanaseCEOPe,julissa-mantilla,1593,1593
284278,mantilla,julissa,topico 1,JulioCaballeroM,julissa-mantilla,1593,1593
165823,mantilla,julissa,topico 1,EddyTello2,julissa-mantilla,1593,1593
285022,mantilla,julissa,topico 1,valjo22,julissa-mantilla,1593,1593
146849,mantilla,julissa,topico 1,nebur_norom,julissa-mantilla,1593,1593
169142,mantilla,julissa,topico 1,pguivin,julissa-mantilla,1593,1593
169366,mantilla,julissa,topico 1,MIYAGIPE_1,julissa-mantilla,1593,1593
179156,mantilla,julissa,topico 1,FARO1111,julissa-mantilla,1593,1593
284170,mantilla,julissa,topico 1,JacquelinedeRa7,julissa-mantilla,1593,1593
284106,mantilla,julissa,topico 1,Wendy01421123,julissa-mantilla,1593,1593
196914,mantilla,julissa,topico 1,lan_franco,julissa-mantilla,1593,1593
284069,mantilla,julissa,topico 1,chatadsu,julissa-mantilla,1593,1593
179649,mantilla,julissa,topico 1,valjo22,julissa-mantilla,1593,1593
284398,mantilla,julissa,topico 1,yovanaespinozar,julissa-mantilla,1593,1593
169052,mantilla,julissa,topico 1,Jessievel,julissa-mantilla,1593,1593
179626,mantilla,julissa,topico 1,Tammymigugmail1,julissa-mantilla,1593,1593
284593,mantilla,julissa,topico 1,maroliva22,julissa-mantilla,1593,1593
179482,mantilla,julissa,topico 1,eDuArDo_aZiEr,julissa-mantilla,1593,1593
284535,mantilla,julissa,topico 1,Ecomart7,julissa-mantilla,1593,1593
169119,mantilla,julissa,topico 1,Edgar77948626,julissa-mantilla,1593,1593
284509,mantilla,julissa,topico 1,538fb1e310bd4b4,julissa-mantilla,1593,1593
165802,mantilla,julissa,topico 1,JORGE1410,julissa-mantilla,1593,1593
179529,mantilla,julissa,topico 1,osalgulama,julissa-mantilla,1593,1593
179556,mantilla,julissa,topico 1,Siempre_Feliz19,julissa-mantilla,1593,1593
169096,mantilla,julissa,topico 1,fioliva,julissa-mantilla,1593,1593
146872,mantilla,julissa,topico 1,Yury947,julissa-mantilla,1593,1593
116846,mantilla,julissa,topico 1,elsidamarin851,julissa-mantilla,1593,1593
271345,mantilla,julissa,topico 1,RocioDe04023409,julissa-mantilla,1593,1593
169075,mantilla,julissa,topico 1,vbroccap,julissa-mantilla,1593,1593
281233,mantilla,julissa,topico 1,PedroTejadaG,julissa-mantilla,1593,1593
284132,mantilla,julissa,topico 1,MariaGirao6,julissa-mantilla,1593,1593
284483,mantilla,julissa,topico 1,Dantuzum,julissa-mantilla,1593,1593
168981,mantilla,julissa,topico 1,nemo17molle,julissa-mantilla,1593,1593
284446,mantilla,julissa,topico 1,JorgeCordovaO1,julissa-mantilla,1593,1593
178606,mantilla,julissa,topico 1,NewsDelPeru,julissa-mantilla,1593,1593
165415,mantilla,julissa,topico 1,JoseCaceda1,julissa-mantilla,1593,1593
178537,mantilla,julissa,topico 1,oliver19070,julissa-mantilla,1593,1593
178560,mantilla,julissa,topico 1,tenaz35hco,julissa-mantilla,1593,1593
169708,mantilla,julissa,topico 1,anadu15383267,julissa-mantilla,1593,1593
154534,mantilla,julissa,topico 1,sudamericalibre,julissa-mantilla,1593,1593
178583,mantilla,julissa,topico 1,scamones,julissa-mantilla,1593,1593
169687,mantilla,julissa,topico 1,alfredo13e,julissa-mantilla,1593,1593
169666,mantilla,julissa,topico 1,mechitacordova,julissa-mantilla,1593,1593
153336,mantilla,julissa,topico 1,oscarnajarro,julissa-mantilla,1593,1593
165438,mantilla,julissa,topico 1,jesusisrael55,julissa-mantilla,1593,1593
153923,mantilla,julissa,topico 1,Rosario19487772,julissa-mantilla,1593,1593
178657,mantilla,julissa,topico 1,manuelc78827758,julissa-mantilla,1593,1593
165471,mantilla,julissa,topico 1,AmyVinatea,julissa-mantilla,1593,1593
169643,mantilla,julissa,topico 1,AndreaAsenjo3,julissa-mantilla,1593,1593
178680,mantilla,julissa,topico 1,pankuyag,julissa-mantilla,1593,1593
165498,mantilla,julissa,topico 1,maryluna20151,julissa-mantilla,1593,1593
169741,mantilla,julissa,topico 1,Muertita1,julissa-mantilla,1593,1593
154574,mantilla,julissa,topico 1,FITOWORLD,julissa-mantilla,1593,1593
285100,mantilla,julissa,topico 1,JoseLuisGil1000,julissa-mantilla,1593,1593
284195,mantilla,julissa,topico 1,aveli88,julissa-mantilla,1593,1593
169295,mantilla,julissa,topico 1,mmvasquezs,julissa-mantilla,1593,1593
178510,mantilla,julissa,topico 1,Chabeli62491017,julissa-mantilla,1593,1593
179579,mantilla,julissa,topico 1,Midori727200,julissa-mantilla,1593,1593
285925,mantilla,julissa,topico 1,RaulQuintarueda,julissa-mantilla,1593,1593
154824,mantilla,julissa,topico 1,Its_a__Girl,julissa-mantilla,1593,1593
178372,mantilla,julissa,topico 1,ArmandoVa80,julissa-mantilla,1593,1593
169850,mantilla,julissa,topico 1,c61bd335ed7840a,julissa-mantilla,1593,1593
178395,mantilla,julissa,topico 1,rlopezaliaga1,julissa-mantilla,1593,1593
169827,mantilla,julissa,topico 1,CeAuRaMo,julissa-mantilla,1593,1593
178418,mantilla,julissa,topico 1,ritmeryyamila,julissa-mantilla,1593,1593
178441,mantilla,julissa,topico 1,pepeponte88,julissa-mantilla,1593,1593
169806,mantilla,julissa,topico 1,LuisCachaysito,julissa-mantilla,1593,1593
165386,mantilla,julissa,topico 1,Alberto23830605,julissa-mantilla,1593,1593
178464,mantilla,julissa,topico 1,dreinosoe,julissa-mantilla,1593,1593
169785,mantilla,julissa,topico 1,lisarita1956,julissa-mantilla,1593,1593
178487,mantilla,julissa,topico 1,net2073500,julissa-mantilla,1593,1593
178703,mantilla,julissa,topico 1,JoseEliasCalleM,julissa-mantilla,1593,1593
169620,mantilla,julissa,topico 1,emag03,julissa-mantilla,1593,1593
179087,mantilla,julissa,topico 1,Milena77508872,julissa-mantilla,1593,1593
165733,mantilla,julissa,topico 1,carlosrelyou,julissa-mantilla,1593,1593
178910,mantilla,julissa,topico 1,VcerdanAmaya,julissa-mantilla,1593,1593
169465,mantilla,julissa,topico 1,VicMacedocano,julissa-mantilla,1593,1593
165689,mantilla,julissa,topico 1,Mary74085594,julissa-mantilla,1593,1593
165710,mantilla,julissa,topico 1,danvib3,julissa-mantilla,1593,1593
178818,mantilla,julissa,topico 1,JorgeCordovaO1,julissa-mantilla,1593,1593
272344,mantilla,julissa,topico 1,A17Ml08,julissa-mantilla,1593,1593
178933,mantilla,julissa,topico 1,Klarij2,julissa-mantilla,1593,1593
153051,mantilla,julissa,topico 1,MercedesSTERN4,julissa-mantilla,1593,1593
169442,mantilla,julissa,topico 1,luisaf19r,julissa-mantilla,1593,1593
178726,mantilla,julissa,topico 1,MejiaoteroMejia,julissa-mantilla,1593,1593
179017,mantilla,julissa,topico 1,KevinBardales13,julissa-mantilla,1593,1593
169419,mantilla,julissa,topico 1,1208966Jimmy,julissa-mantilla,1593,1593
285735,mantilla,julissa,topico 1,Milenadovil,julissa-mantilla,1593,1593
179064,mantilla,julissa,topico 1,Patty_Barrantes,julissa-mantilla,1593,1593
169396,mantilla,julissa,topico 1,AntonioGAMA2121,julissa-mantilla,1593,1593
285715,mantilla,julissa,topico 1,Lucarqui1921,julissa-mantilla,1593,1593
148505,mantilla,julissa,topico 1,ArturoReyes_C,julissa-mantilla,1593,1593
165658,mantilla,julissa,topico 1,traimpo,julissa-mantilla,1593,1593
178994,mantilla,julissa,topico 1,henrysaul2H,julissa-mantilla,1593,1593
152755,mantilla,julissa,topico 1,LuisChavarry8,julissa-mantilla,1593,1593
178887,mantilla,julissa,topico 1,Wood6213,julissa-mantilla,1593,1593
169597,mantilla,julissa,topico 1,mquirose,julissa-mantilla,1593,1593
178749,mantilla,julissa,topico 1,gringoperu,julissa-mantilla,1593,1593
169576,mantilla,julissa,topico 1,GCeciGonz,julissa-mantilla,1593,1593
165541,mantilla,julissa,topico 1,carlosrelyou,julissa-mantilla,1593,1593
178772,mantilla,julissa,topico 1,35passenger15,julissa-mantilla,1593,1593
178795,mantilla,julissa,topico 1,Ricardo05011406,julissa-mantilla,1593,1593
169553,mantilla,julissa,topico 1,stdlibertad,julissa-mantilla,1593,1593
165562,mantilla,julissa,topico 1,EternoViajero_,julissa-mantilla,1593,1593
169488,mantilla,julissa,topico 1,MSJL8899,julissa-mantilla,1593,1593
169532,mantilla,julissa,topico 1,Calrornds,julissa-mantilla,1593,1593
178841,mantilla,julissa,topico 1,Rom_mel2,julissa-mantilla,1593,1593
169762,mantilla,julissa,topico 1,vbroccap,julissa-mantilla,1593,1593
169511,mantilla,julissa,topico 1,rudywong2000,julissa-mantilla,1593,1593
165583,mantilla,julissa,topico 1,emcioran_peru21,julissa-mantilla,1593,1593
165844,mantilla,julissa,topico 1,ConductorDas,julissa-mantilla,1593,1593
284047,mantilla,julissa,topico 1,MisadYulia,julissa-mantilla,1593,1593
168438,mantilla,julissa,topico 1,Arcadio1309,julissa-mantilla,1593,1593
133264,mantilla,julissa,topico 1,cinthyaebm,julissa-mantilla,1593,1593
146124,mantilla,julissa,topico 1,Luishid07612826,julissa-mantilla,1593,1593
133233,mantilla,julissa,topico 1,Danissa85856732,julissa-mantilla,1593,1593
168615,mantilla,julissa,topico 1,MariaLu70540497,julissa-mantilla,1593,1593
282073,mantilla,julissa,topico 1,milton4023,julissa-mantilla,1593,1593
282016,mantilla,julissa,topico 1,Rosasalvaje31,julissa-mantilla,1593,1593
166069,mantilla,julissa,topico 1,carlos313110,julissa-mantilla,1593,1593
281943,mantilla,julissa,topico 1,MSJL8899,julissa-mantilla,1593,1593
281917,mantilla,julissa,topico 1,MarisaOritor,julissa-mantilla,1593,1593
166092,mantilla,julissa,topico 1,Ricardo05011406,julissa-mantilla,1593,1593
168594,mantilla,julissa,topico 1,rpaber,julissa-mantilla,1593,1593
146022,mantilla,julissa,topico 1,amugpan,julissa-mantilla,1593,1593
281891,mantilla,julissa,topico 1,omarzm,julissa-mantilla,1593,1593
281854,mantilla,julissa,topico 1,verdad1ajena,julissa-mantilla,1593,1593
281828,mantilla,julissa,topico 1,ASAEL0508,julissa-mantilla,1593,1593
281780,mantilla,julissa,topico 1,Juaniperezc,julissa-mantilla,1593,1593
178326,mantilla,julissa,topico 1,QUIQUEBENITES1,julissa-mantilla,1593,1593
178864,mantilla,julissa,topico 1,Dantuzum,julissa-mantilla,1593,1593
281802,mantilla,julissa,topico 1,morenobancesc,julissa-mantilla,1593,1593
282204,mantilla,julissa,topico 1,CARLOSC97517344,julissa-mantilla,1593,1593
282110,mantilla,julissa,topico 1,Paolaarq,julissa-mantilla,1593,1593
282226,mantilla,julissa,topico 1,vcalle,julissa-mantilla,1593,1593
146219,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
166025,mantilla,julissa,topico 1,Ccarhua2,julissa-mantilla,1593,1593
133070,mantilla,julissa,topico 1,92Perucho,julissa-mantilla,1593,1593
168670,mantilla,julissa,topico 1,galeno2709,julissa-mantilla,1593,1593
282507,mantilla,julissa,topico 1,lace715,julissa-mantilla,1593,1593
282404,mantilla,julissa,topico 1,JoseC091120,julissa-mantilla,1593,1593
282378,mantilla,julissa,topico 1,Luz23876631,julissa-mantilla,1593,1593
282341,mantilla,julissa,topico 1,Jessica54274325,julissa-mantilla,1593,1593
146171,mantilla,julissa,topico 1,mijaolivera,julissa-mantilla,1593,1593
282315,mantilla,julissa,topico 1,midoeru,julissa-mantilla,1593,1593
133091,mantilla,julissa,topico 1,oscco_nancy,julissa-mantilla,1593,1593
282289,mantilla,julissa,topico 1,EdhitBlaz,julissa-mantilla,1593,1593
168647,mantilla,julissa,topico 1,atalaya_reyes,julissa-mantilla,1593,1593
282252,mantilla,julissa,topico 1,SheenKaren,julissa-mantilla,1593,1593
166048,mantilla,julissa,topico 1,tatoramos1970,julissa-mantilla,1593,1593
133535,mantilla,julissa,topico 1,per_libertad,julissa-mantilla,1593,1593
168551,mantilla,julissa,topico 1,luna2255,julissa-mantilla,1593,1593
282547,mantilla,julissa,topico 1,RosaCabezudo,julissa-mantilla,1593,1593
133724,mantilla,julissa,topico 1,LldaLol,julissa-mantilla,1593,1593
178349,mantilla,julissa,topico 1,el_bobbyflores,julissa-mantilla,1593,1593
281206,mantilla,julissa,topico 1,Luana88s,julissa-mantilla,1593,1593
281169,mantilla,julissa,topico 1,MagdaAlvaradoG1,julissa-mantilla,1593,1593
176072,mantilla,julissa,topico 1,EduardoFD12,julissa-mantilla,1593,1593
281514,mantilla,julissa,topico 1,CorruptosSon,julissa-mantilla,1593,1593
145928,mantilla,julissa,topico 1,Patriota21gmai1,julissa-mantilla,1593,1593
281076,mantilla,julissa,topico 1,VozVegetal82,julissa-mantilla,1593,1593
281039,mantilla,julissa,topico 1,cenial7,julissa-mantilla,1593,1593
281711,mantilla,julissa,topico 1,salazarcordovap,julissa-mantilla,1593,1593
166164,mantilla,julissa,topico 1,SchaltonR,julissa-mantilla,1593,1593
168459,mantilla,julissa,topico 1,calin2021,julissa-mantilla,1593,1593
281011,mantilla,julissa,topico 1,ma_sejo,julissa-mantilla,1593,1593
280963,mantilla,julissa,topico 1,lachikidelmal1,julissa-mantilla,1593,1593
280937,mantilla,julissa,topico 1,Mariana95282410,julissa-mantilla,1593,1593
145897,mantilla,julissa,topico 1,pablocarrionz89,julissa-mantilla,1593,1593
133745,mantilla,julissa,topico 1,YacchiSonia,julissa-mantilla,1593,1593
166143,mantilla,julissa,topico 1,SchaltonR,julissa-mantilla,1593,1593
281255,mantilla,julissa,topico 1,PAPARDELLO,julissa-mantilla,1593,1593
168505,mantilla,julissa,topico 1,Leodas13,julissa-mantilla,1593,1593
281282,mantilla,julissa,topico 1,cohe_sonia,julissa-mantilla,1593,1593
145995,mantilla,julissa,topico 1,CarmenD28537459,julissa-mantilla,1593,1593
281595,mantilla,julissa,topico 1,josmanCG,julissa-mantilla,1593,1593
281567,mantilla,julissa,topico 1,omarzm,julissa-mantilla,1593,1593
281540,mantilla,julissa,topico 1,LuisEnriqueUtr1,julissa-mantilla,1593,1593
133558,mantilla,julissa,topico 1,per_libertad,julissa-mantilla,1593,1593
168528,mantilla,julissa,topico 1,manarellidiego,julissa-mantilla,1593,1593
168482,mantilla,julissa,topico 1,rpaber,julissa-mantilla,1593,1593
166113,mantilla,julissa,topico 1,Luzw14,julissa-mantilla,1593,1593
283406,mantilla,julissa,topico 1,CuculiB,julissa-mantilla,1593,1593
283443,mantilla,julissa,topico 1,pepe15756804,julissa-mantilla,1593,1593
281403,mantilla,julissa,topico 1,DankaAus,julissa-mantilla,1593,1593
133623,mantilla,julissa,topico 1,monteshashimoto,julissa-mantilla,1593,1593
145951,mantilla,julissa,topico 1,pescuso,julissa-mantilla,1593,1593
281330,mantilla,julissa,topico 1,JeoseanneA,julissa-mantilla,1593,1593
281304,mantilla,julissa,topico 1,lancerplatino,julissa-mantilla,1593,1593
146240,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
133004,mantilla,julissa,topico 1,Pacificoamor,julissa-mantilla,1593,1593
199245,mantilla,julissa,topico 1,sariam_,julissa-mantilla,1593,1593
146748,mantilla,julissa,topico 1,LR_7777,julissa-mantilla,1593,1593
199487,mantilla,julissa,topico 1,amariateguicnof,julissa-mantilla,1593,1593
283709,mantilla,julissa,topico 1,pintora67,julissa-mantilla,1593,1593
283654,mantilla,julissa,topico 1,Micaela21224278,julissa-mantilla,1593,1593
283617,mantilla,julissa,topico 1,soniamendozaq,julissa-mantilla,1593,1593
168869,mantilla,julissa,topico 1,ShalomGabriel48,julissa-mantilla,1593,1593
165888,mantilla,julissa,topico 1,ConductorDas,julissa-mantilla,1593,1593
283591,mantilla,julissa,topico 1,ises01,julissa-mantilla,1593,1593
283565,mantilla,julissa,topico 1,EliseoJimenezZ1,julissa-mantilla,1593,1593
146562,mantilla,julissa,topico 1,Tolerancia2019,julissa-mantilla,1593,1593
283517,mantilla,julissa,topico 1,ursulalunga,julissa-mantilla,1593,1593
283484,mantilla,julissa,topico 1,acostaburga,julissa-mantilla,1593,1593
281466,mantilla,julissa,topico 1,RRenzomelgarejo,julissa-mantilla,1593,1593
283233,mantilla,julissa,topico 1,Tey_61,julissa-mantilla,1593,1593
165923,mantilla,julissa,topico 1,ojodeisis,julissa-mantilla,1593,1593
171319,mantilla,julissa,topico 1,nebur_norom,julissa-mantilla,1593,1593
283331,mantilla,julissa,topico 1,julioarojasb,julissa-mantilla,1593,1593
283747,mantilla,julissa,topico 1,JorgeCordovaO1,julissa-mantilla,1593,1593
283775,mantilla,julissa,topico 1,AnaMirandaM1,julissa-mantilla,1593,1593
168892,mantilla,julissa,topico 1,MnicaCceres7,julissa-mantilla,1593,1593
146771,mantilla,julissa,topico 1,RZP140650,julissa-mantilla,1593,1593
146813,mantilla,julissa,topico 1,LuSalva24,julissa-mantilla,1593,1593
199396,mantilla,julissa,topico 1,Midori727200,julissa-mantilla,1593,1593
284003,mantilla,julissa,topico 1,lalo_albarracin,julissa-mantilla,1593,1593
283966,mantilla,julissa,topico 1,l_valle,julissa-mantilla,1593,1593
283944,mantilla,julissa,topico 1,LibertadEsMivoz,julissa-mantilla,1593,1593
168958,mantilla,julissa,topico 1,ManuelF21938574,julissa-mantilla,1593,1593
283917,mantilla,julissa,topico 1,scamones,julissa-mantilla,1593,1593
199433,mantilla,julissa,topico 1,viajer32,julissa-mantilla,1593,1593
168935,mantilla,julissa,topico 1,vicchec,julissa-mantilla,1593,1593
283864,mantilla,julissa,topico 1,wddonayre,julissa-mantilla,1593,1593
199451,mantilla,julissa,topico 1,ElianaOdam,julissa-mantilla,1593,1593
165865,mantilla,julissa,topico 1,JORGE1410,julissa-mantilla,1593,1593
283827,mantilla,julissa,topico 1,AngelTr84313089,julissa-mantilla,1593,1593
199469,mantilla,julissa,topico 1,gildatrkovic,julissa-mantilla,1593,1593
283801,mantilla,julissa,topico 1,acostaburga,julissa-mantilla,1593,1593
283357,mantilla,julissa,topico 1,nellyfish2021,julissa-mantilla,1593,1593
282622,mantilla,julissa,topico 1,VitoAndolini00,julissa-mantilla,1593,1593
168846,mantilla,julissa,topico 1,CarlosCruzRam12,julissa-mantilla,1593,1593
282768,mantilla,julissa,topico 1,MORISALOME,julissa-mantilla,1593,1593
132444,mantilla,julissa,topico 1,OmarGamarra20,julissa-mantilla,1593,1593
283384,mantilla,julissa,topico 1,julioarojasb,julissa-mantilla,1593,1593
146345,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
166002,mantilla,julissa,topico 1,110456Jrc,julissa-mantilla,1593,1593
282816,mantilla,julissa,topico 1,mirandaandres77,julissa-mantilla,1593,1593
146324,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
168746,mantilla,julissa,topico 1,marcedlcruz,julissa-mantilla,1593,1593
146303,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
283309,mantilla,julissa,topico 1,JorgeMontoyaHab,julissa-mantilla,1593,1593
132923,mantilla,julissa,topico 1,velasquez_serna,julissa-mantilla,1593,1593
282725,mantilla,julissa,topico 1,ricardogut601,julissa-mantilla,1593,1593
282703,mantilla,julissa,topico 1,AMARCOS75,julissa-mantilla,1593,1593
146282,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
282660,mantilla,julissa,topico 1,mpalaciosm,julissa-mantilla,1593,1593
146261,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
168693,mantilla,julissa,topico 1,valiant1964,julissa-mantilla,1593,1593
168781,mantilla,julissa,topico 1,giulianachahud,julissa-mantilla,1593,1593
282854,mantilla,julissa,topico 1,Micaela21224278,julissa-mantilla,1593,1593
282876,mantilla,julissa,topico 1,LMN_A1,julissa-mantilla,1593,1593
146387,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
168825,mantilla,julissa,topico 1,cenial7,julissa-mantilla,1593,1593
283286,mantilla,julissa,topico 1,Juadri_28,julissa-mantilla,1593,1593
146366,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
281429,mantilla,julissa,topico 1,PedroTejadaG,julissa-mantilla,1593,1593
283259,mantilla,julissa,topico 1,Juadri_28,julissa-mantilla,1593,1593
283207,mantilla,julissa,topico 1,aldagar05,julissa-mantilla,1593,1593
146498,mantilla,julissa,topico 1,Jimpatt3,julissa-mantilla,1593,1593
168804,mantilla,julissa,topico 1,partido_peru,julissa-mantilla,1593,1593
283155,mantilla,julissa,topico 1,mezones_rives,julissa-mantilla,1593,1593
283118,mantilla,julissa,topico 1,abejorman,julissa-mantilla,1593,1593
283035,mantilla,julissa,topico 1,paula17245937,julissa-mantilla,1593,1593
282999,mantilla,julissa,topico 1,EME_280790,julissa-mantilla,1593,1593
146408,mantilla,julissa,topico 4,DorisGa59376105,julissa-mantilla,1593,1593
282914,mantilla,julissa,topico 1,WalterF59274559,julissa-mantilla,1593,1593
169894,mantilla,julissa,topico 1,karim_benest,julissa-mantilla,1593,1593
178303,mantilla,julissa,topico 1,marlemantilla72,julissa-mantilla,1593,1593
165363,mantilla,julissa,topico 1,Zavale1Ramos,julissa-mantilla,1593,1593
176026,mantilla,julissa,topico 1,CESARA77777777,julissa-mantilla,1593,1593
171403,mantilla,julissa,topico 1,Cesar71472357,julissa-mantilla,1593,1593
163987,mantilla,julissa,topico 1,SCarranzaVelez,julissa-mantilla,1593,1593
155968,mantilla,julissa,topico 1,AngelSaint211,julissa-mantilla,1593,1593
176003,mantilla,julissa,topico 1,PerSomosTodos1,julissa-mantilla,1593,1593
171382,mantilla,julissa,topico 1,BarMarquina,julissa-mantilla,1593,1593
164008,mantilla,julissa,topico 1,Yesika83057729,julissa-mantilla,1593,1593
164031,mantilla,julissa,topico 1,marlon_4646,julissa-mantilla,1593,1593
176049,mantilla,julissa,topico 1,elymalaga24,julissa-mantilla,1593,1593
164054,mantilla,julissa,topico 1,loyola_zoila,julissa-mantilla,1593,1593
283181,mantilla,julissa,topico 1,1506_Juani,julissa-mantilla,1593,1593
165979,mantilla,julissa,topico 1,lace715,julissa-mantilla,1593,1593
176189,mantilla,julissa,topico 1,andreaderecha10,julissa-mantilla,1593,1593
175624,mantilla,julissa,topico 1,miriamyanet3010,julissa-mantilla,1593,1593
171340,mantilla,julissa,topico 1,RichardIpanaqu4,julissa-mantilla,1593,1593
176135,mantilla,julissa,topico 1,RenePari5,julissa-mantilla,1593,1593
171296,mantilla,julissa,topico 1,gino_reynoso,julissa-mantilla,1593,1593
175980,mantilla,julissa,topico 1,ChesuKalim,julissa-mantilla,1593,1593
163964,mantilla,julissa,topico 1,Fabiola24811583,julissa-mantilla,1593,1593
171441,mantilla,julissa,topico 1,Larepelita,julissa-mantilla,1593,1593
163921,mantilla,julissa,topico 1,Opinopatiaa,julissa-mantilla,1593,1593
175864,mantilla,julissa,topico 1,WAS87481693,julissa-mantilla,1593,1593
38101,mantilla,julissa,topico 1,FranchyRosa,julissa-mantilla,1593,1593
156061,mantilla,julissa,topico 1,lalitaMilu,julissa-mantilla,1593,1593
38148,mantilla,julissa,topico 1,LibertadEsMivoz,julissa-mantilla,1593,1593
38240,mantilla,julissa,topico 1,mauargo,julissa-mantilla,1593,1593
39113,mantilla,julissa,topico 1,CesarChiino,julissa-mantilla,1593,1593
171485,mantilla,julissa,topico 1,cesantib,julissa-mantilla,1593,1593
175887,mantilla,julissa,topico 1,alan_revi,julissa-mantilla,1593,1593
163877,mantilla,julissa,topico 1,Juan26421547,julissa-mantilla,1593,1593
39136,mantilla,julissa,topico 1,CesarChiino,julissa-mantilla,1593,1593
175910,mantilla,julissa,topico 1,CARLOSC97517344,julissa-mantilla,1593,1593
171462,mantilla,julissa,topico 1,virgys501,julissa-mantilla,1593,1593
163900,mantilla,julissa,topico 1,DOSANTOSSiempre,julissa-mantilla,1593,1593
155926,mantilla,julissa,topico 1,Juanjolap,julissa-mantilla,1593,1593
39158,mantilla,julissa,topico 1,CesarChiino,julissa-mantilla,1593,1593
175957,mantilla,julissa,topico 1,luisinho_ica,julissa-mantilla,1593,1593
171275,mantilla,julissa,topico 1,giserrat,julissa-mantilla,1593,1593
164154,mantilla,julissa,topico 1,Lourdes57687621,julissa-mantilla,1593,1593
171252,mantilla,julissa,topico 1,Daniel35254493,julissa-mantilla,1593,1593
